"country","climbers","body_mass_index"
"ESP",7269,21.9940715898801923
"FRA",6635,21.7212902906613282
"ITA",4752,21.5417711972366494
NULL,4642,22.1106337989437863
"USA",4289,22.0352648269523418
"DEU",2943,22.3014288141107693
"CHE",2937,21.9205820923979260
"GRC",2647,21.8735662465877168
"AUT",2527,22.0608568053395885
"SWE",1913,22.4173656282728850
"SVN",1582,21.6570688976959107
"POL",1510,21.7689875130298284
"TUR",1334,21.7263391663107348
"NOR",1305,22.9582933030935276
"THA",1269,21.7422835120498477
"ZAF",1255,22.0057578458621609
"HRV",1225,21.8975034638051955
"CAN",1179,22.4992801997478272
"GBR",1053,22.0398388601549922
"AUS",862,21.9868388953552364
"BRA",796,21.8726442856288518
"CZE",594,21.9718681171724722
"LUX",544,21.9373981954034339
"PRT",523,22.1060049137150098
"BEL",498,22.2571391860525892
"NZL",454,22.5416244310310982
"MEX",451,21.8972655660378430
"UKR",435,20.9823335030996774
"FIN",378,22.1232521432505226
"RUS",358,21.4566058828540590
"SVK",308,21.5784995961387785
"BGR",290,21.3158760527458858
"ROM",251,21.7737120823482185
"CHN",235,21.7813005873675375
"ARG",226,22.0714262241478216
"MAR",188,21.9300588804825769
"IND",163,21.3063909345682035
"HUN",159,21.2689042467029969
"LAO",121,21.6312878875547787
"MKD",104,21.6195102702523700
"VEN",98,21.0360951918061310
"CHL",98,22.2129496589168960
"JPN",95,20.6486629787339112
"PER",81,21.7503602711954398
"SRB",73,20.8961101767000434
"MLT",68,21.8932383372971721
"COL",67,21.5464854360759696
"AND",66,21.9469222530936503
"CUB",64,22.3635049851232430
"ISR",64,21.3114766382295623
"VNM",56,21.6705417302644593
"REU",50,21.2822695474742723
"ISL",49,22.1486978086069705
"IRL",45,21.9015508449309796
"DNK",39,23.2462140779211710
"NLD",38,21.3379833334576044
"MYS",37,21.0912309227818451
"HKG",37,21.3422875270709537
"ECU",35,21.2911002605214342
"IRN",34,20.8903592705027669
"BIH",32,21.5778518231605178
"MSR",31,23.8045902482536620
"KOR",29,22.1063419495092717
"NAM",28,21.8407507016140951
"ALB",28,21.7656294504801439
"MDG",27,21.6061434739522546
"TWN",24,21.4132757261227848
"FXX",23,23.5523815682905122
"JOR",19,21.5426306114719592
"SWZ",18,21.7330895251384829
"OMN",16,22.0115576917075010
"YUG",16,21.4144588024864741
"ABW",15,22.3002766739105991
"VGB",14,22.4687965368812673
"BOL",14,22.3971522652785206
"ARE",13,20.6053316064526135
"CYP",13,21.6674897120360468
"MNE",12,20.7217736102319170
"PHL",11,16.2128914439893315
"SGS",11,21.8489056246428514
"NPL",11,22.2819353862768597
"ZWE",8,21.8256596345498481
"PRI",7,22.8183082644300053
"GTM",7,22.0612972141872924
"DOM",6,23.7926724395081186
"KEN",6,22.2045438445707000
"CRI",6,22.0645991547400839
"NCL",6,21.3025313113022481
"EGY",6,24.2074698170751974
"LBN",6,19.8949702516043232
"KGZ",6,21.3749296949724888
"SOM",6,23.0533723054028289
"IDN",6,20.7464519027296027
"BVT",6,22.0187191474186257
"PAK",5,22.5567314945441636
"ARM",5,20.2863327729290248
"LIE",5,20.3758690369957456
"MCO",5,21.5797685414247560
"FJI",5,22.3711144170646861
"GRL",5,21.9640943460705174
"SLV",5,20.5001424794810263
"BWA",4,21.6032847404026974
"ETH",4,22.7845896092012091
"AZE",4,20.3670138981026296
"PAN",4,21.1326360609603318
"GEO",4,22.4934238495057934
"SYC",4,22.7544287058296630
"HND",4,27.8120166567519341
"SMR",4,21.3877551020408163
"SYR",4,22.6327265702140597
"FRO",3,23.6712893454487791
"BHS",3,23.2040364903352664
"LVA",3,22.0226757369614512
"GIB",3,21.4411234853982996
"LKA",3,20.7319271678384712
"MWI",3,22.9786350133220719
"KNA",3,22.7107438016528933
"KAZ",3,21.1379384023686701
"CYM",3,23.2253051664339444
"UGA",2,21.9524793388429752
"GLOB",2,21.2474084146919545
"GHA",2,21.3139298275833570
"GUM",2,25.7677818701247777
"HTI",2,22.2509784118166898
"KHM",2,21.8851281365899295
"LTU",2,21.7402549792015520
"MNP",2,21.2952947539210384
"NGA",2,23.0523614898436126
"CPV",2,20.7670172635036241
"PCN",2,23.5650093541510885
"CIV",2,20.5714285714285714
"PRK",2,23.6295173358110421
"SAU",2,22.5464713295526150
"SJM",2,21.6795729421110855
"SLB",2,24.5326612056290695
"TZA",2,23.9069263265745532
"ATF",2,22.6986912839789400
"ASM",2,24.8866612716561812
"YEM",2,20.3383264462809917
"SHN",1,24.3823729785937108
"GLP",1,23.3010948322640365
"FLK",1,22.0580511886838696
"MYT",1,20.8085612366230678
"MTQ",1,23.0400201994697639
"MMR",1,17.7085769654849811
"SPM",1,24.3823729785937108
"BMU",1,24.1221457745127601
"STP",1,21.9524793388429752
"SUR",1,21.5450907971683595
"BLR",1,22.7204383708109192
"MLI",1,21.7993079584775087
"DJI",1,21.3294375456537619
"MDV",1,22.0384011592802802
"DZA",1,21.7993079584775087
"MAC",1,24.8970602317341760
"BFA",1,21.7993079584775087
"TJK",1,20.9876543209876543
"TKM",1,19.4444444444444444
"TMP",1,16.6493236212278876
"TUN",1,20.9643605870020964
"BDI",1,21.5450907971683595
"LCA",1,11.9953863898500577
"IOT",1,20.5714285714285714
"GIN",1,21.6066481994459834
"KIR",1,25.7617728531855956
"UNK",1,23.5294117647058824
"URY",1,21.2952947539210384
"ZMB",1,21.2228082768952280
"VCT",1,21.4619366241636157
"GAB",1,21.7051294327938970
"EST",1,22.5308641975308642
"JAM",1,22.2040816326530612
"QAT",1,22.2040816326530612
"BRB",1,23.5478806907378336
"PYF",1,22.0580511886838696
"WSM",1,25.6172839506172840
"SDN",1,22.5308641975308642
"SGP",1,22.5308641975308642
"CMR",1,21.2952947539210384
