"country","climbers","body_mass_index"
"ESP",477,20.792702843212602
"FRA",328,21.409787522054376
"USA",241,21.740547843183894
"ITA",205,20.79581576825909
"AUT",166,21.54102734339608
"SVN",151,20.95447480478672
"CHE",126,20.913429423228145
"DEU",125,21.258321827085837
NULL,105,20.96668054590871
"GRC",64,21.12666709625966
"AUS",61,21.74700098398147
"POL",58,20.742873353071857
"CAN",57,21.38301169161331
"NOR",56,21.321738058192413
"ZAF",53,21.06855845343244
"UKR",44,20.699456738708363
"TUR",39,20.918890051596275
"GBR",36,22.007200550183768
"BRA",31,21.07597508937128
"MEX",29,20.74993569833733
"HRV",22,20.917724365602204
"THA",19,20.68739796951798
"JPN",18,20.96863366585425
"SWE",18,21.11539877730155
"CHN",17,20.63586489523432
"SVK",16,20.646837356234297
"NZL",16,21.60500254523578
"CZE",13,20.816754568341274
"ARG",11,21.058583712146365
"BEL",10,21.04213405785053
"HUN",9,21.099453113360426
"RUS",9,20.526305576252202
"BGR",8,20.591364029476924
"ROM",7,22.27488802064022
"ISR",6,20.874926104274735
"IRN",5,20.465500934880865
"VEN",5,19.93607092340762
"FIN",5,21.528549405355573
"IND",4,21.255208293367915
"COL",4,21.15701837261602
"LUX",4,19.647985405089923
"PRT",4,21.207150082023645
"REU",4,20.873228184983688
"FXX",3,22.983494292831647
"ISL",3,22.237117899283945
"CHL",3,20.244938449060573
"MYS",2,22.26963255106291
"ECU",2,22.20408163265306
"MSR",1,25.46938775510204
"MMR",1,17.70857696548498
"ALB",1,17.306122448979593
"MDG",1,19.868517165814463
"TWN",1,20.549886621315192
"ETH",1,20.30741220545499
"MAR",1,21.30394857667585
"LAO",1,18.93877551020408
"KOR",1,19.835162956123252
"NLD",1,20.436158002295567
"CUB",1,23.29122995610499
"SRB",1,19.444444444444443
