"country","climbers","avarage_height"
"ESP",532,172.42857142857142
"FRA",360,173.85734265734266
"USA",258,174.77498428661218
"ITA",228,174.01444291609354
"AUT",194,175.6787878787879
"SVN",163,175.95833333333334
"DEU",157,176.55670103092783
"CHE",144,176.93892045454547
NULL,110,175.50666666666666
"GRC",70,176.2445652173913
"AUS",66,174.70103092783506
"NOR",65,178.21354166666666
"POL",62,176.16875
"ZAF",60,176.22981366459626
"CAN",58,175.69421487603304
"UKR",50,176.8546511627907
"TUR",45,175.0408163265306
"GBR",39,173.90076335877862
"BRA",31,176.18556701030928
"MEX",29,172.8019801980198
"JPN",23,166.47058823529412
"HRV",22,177.5681818181818
"THA",20,175.96666666666667
"SWE",19,176.0701754385965
"CHN",18,174.94736842105263
"NZL",17,172.9142857142857
"SVK",16,176.89830508474577
"CZE",13,181.48695652173913
"ARG",12,175.25
"BGR",10,182.04761904761904
"BEL",10,179.46153846153845
"RUS",10,176.65384615384616
"HUN",9,176.3684210526316
"ROM",9,176.74074074074073
"ISR",6,170.3548387096774
"IRN",5,174.1818181818182
"FIN",5,176.08333333333334
"VEN",5,173.0
"LUX",5,177.83333333333334
"COL",4,169.8
"IND",4,180.5
"REU",4,184.1875
"PRT",4,171.5
"FXX",3,174.93333333333334
"ISL",3,177.0
"CHL",3,177.8
"MYS",2,171.5
"ECU",2,175.0
"SRB",1,180.0
"MMR",1,173.0
"MKD",1,173.0
"MDG",1,185.0
"MAR",1,165.0
"TWN",1,168.0
"ALB",1,175.0
"LAO",1,175.0
"KOR",1,171.0
"ETH",1,169.0
"NLD",1,189.0
"CUB",1,183.0
"MSR",1,175.0
