"country","climbers","avarage_height"
"ESP",7677,67.7711410311726722
"FRA",6990,68.1465748797709617
"USA",5688,69.1413739992751952
NULL,5322,69.7988292952726267
"ITA",4901,66.8392579060852899
"CHE",3075,69.2847560620474092
"DEU",3048,70.8372384176836040
"GRC",2780,67.9246782175375748
"AUT",2610,69.8103628821136574
"SWE",1955,72.2558083139800591
"SVN",1623,68.3808364824184974
"POL",1549,68.4901959670870694
"CAN",1511,69.9959422818028404
"ZAF",1412,69.3211015883230468
"TUR",1374,67.3585984672549930
"THA",1371,69.2584995558426876
"NOR",1333,74.1932906844825413
"HRV",1263,69.7470155163816619
"GBR",1230,69.7809649630809324
"AUS",988,69.9032018186840037
"BRA",846,67.2932668000263788
"CZE",608,69.1963290724352671
"LUX",557,69.5461565057047367
"PRT",539,67.2544475468687675
"NZL",525,70.4655889746034498
"MEX",521,66.1339155749636099
"BEL",515,70.3762094823415578
"UKR",451,64.5139087870105062
"FIN",385,70.4381527837721191
"RUS",367,65.3230204927836696
"SVK",316,66.8849504355662361
"BGR",298,66.5754233338511729
"CHN",267,68.3689189189189189
"ROM",260,68.2269158559481140
"ARG",241,68.3895528141865844
"MAR",198,67.9712538226299694
"IND",175,67.6874211190576357
"HUN",162,67.4978883153449085
"LAO",130,67.7998941238750662
"CHL",106,68.8770764119601329
"MKD",105,65.5586785009861933
"VEN",102,64.2758404021363494
"JPN",98,59.5658914728682171
"PER",83,65.0338372930165587
"SRB",75,63.9223524006432346
"COL",73,63.1335877862595420
"MLT",70,69.0561797752808989
"AND",68,70.1544554455445545
"CUB",68,70.0762886597938144
"VNM",68,69.0310262529832936
"ISR",66,65.8964941569282137
"IRL",54,70.3317307692307692
"REU",52,65.4811676082862524
"ISL",50,70.2327540810953133
"ECU",41,63.3371868978805395
"DNK",39,71.4029850746268657
"HKG",39,65.0340557275541796
"MYS",39,67.1238095238095238
"NLD",38,69.6108007448789572
"IRN",36,63.9594095940959410
"BIH",33,68.3789473684210526
"ALB",32,70.2330097087378641
"KOR",31,67.7555012224938875
"MSR",31,74.7071005917159763
"NAM",29,70.6543209876543210
"MDG",29,66.5666666666666667
"TWN",25,64.2250000000000000
"FXX",23,73.1632653061224490
"JOR",21,67.8113207547169811
"SWZ",20,69.1428571428571429
"ABW",17,62.9583333333333333
"OMN",17,71.6904761904761905
"VGB",16,70.3975409836065574
"YUG",16,70.8494623655913978
"ARE",14,65.6190476190476190
"BOL",14,67.8630136986301370
"CYP",13,64.2323943661971831
"MNE",13,65.5460122699386503
"SGS",12,68.3846153846153846
"NPL",12,71.5416666666666667
"PHL",12,70.0384615384615385
"PRI",9,71.0349344978165939
"ZWE",9,66.4180790960451977
"GTM",8,64.6666666666666667
"LBN",7,61.8235294117647059
"KEN",7,72.5454545454545455
"KGZ",7,64.8421052631578947
"PAK",6,69.4000000000000000
"IDN",6,61.1818181818181818
"DOM",6,68.1020408163265306
"EGY",6,53.2631578947368421
"CRI",6,60.1000000000000000
"SOM",6,68.3333333333333333
"BVT",6,69.4285714285714286
"NCL",6,64.1538461538461538
"CYM",5,73.7000000000000000
"ARM",5,64.0869565217391304
"GRL",5,73.5555555555555556
"FJI",5,72.0000000000000000
"SMR",5,66.8888888888888889
"SLV",5,56.9285714285714286
"LIE",5,74.0000000000000000
"MCO",5,63.9090909090909091
"BWA",5,61.4000000000000000
"FRO",4,80.4000000000000000
"KNA",4,74.2500000000000000
"KAZ",4,61.4615384615384615
