"country","climbers","avarage_height"
"ESP",514,61.85102459016394
"FRA",348,64.78628447024674
"USA",330,67.44491129785247
"ITA",209,63.196745562130175
"AUT",173,66.24298056155507
"SVN",154,64.82908163265306
"CHE",133,65.8892455858748
"DEU",128,65.72826086956522
NULL,120,66.38271604938272
"AUS",74,67.64423076923077
"GRC",70,66.06629834254143
"CAN",67,66.57454545454546
"POL",61,64.32692307692308
"NOR",58,67.34224598930481
"ZAF",55,65.4375
"GBR",44,64.74358974358974
"UKR",44,65.07792207792208
"TUR",43,65.06896551724138
"MEX",35,62.25925925925926
"BRA",35,66.15126050420169
"CHN",22,65.11111111111111
"HRV",22,65.95454545454545
"THA",20,64.5
"SWE",19,65.29508196721312
"JPN",18,58.535714285714285
"NZL",17,64.85714285714286
"SVK",16,64.61016949152543
"ARG",13,63.78947368421053
"CZE",13,68.56521739130434
"BEL",10,67.76923076923077
"HUN",9,65.63157894736842
"RUS",9,64.45833333333333
"BGR",8,67.48979591836735
"ROM",8,67.56
"ISR",7,60.96875
"VEN",5,59.666666666666664
"IRN",5,62.09090909090909
"FIN",5,66.75
"PRT",5,62.5
"LUX",5,61.333333333333336
"COL",4,61.0
"REU",4,70.8125
"IND",4,69.25
"FXX",3,70.33333333333333
"ISL",3,69.66666666666667
"MYS",3,66.57142857142857
"CHL",3,64.0
"ECU",2,68.0
"MSR",1,78.0
"MMR",1,53.0
"SRB",1,63.0
"MDG",1,68.0
"MAR",1,58.0
"LBN",1,63.0
"ALB",1,53.0
"IRL",1,63.0
"TWN",1,58.0
"LAO",1,58.0
"BEN",1,58.0
"KOR",1,58.0
"ETH",1,58.0
"NLD",1,73.0
"CUB",1,78.0
