"country","climbers"
"ESP",11628
"FRA",10310
"USA",9216
NULL,8305
"ITA",7013
"DEU",4629
"CHE",4442
"GRC",3995
"AUT",3852
"SWE",2834
"POL",2261
"SVN",2253
"CAN",2232
"NOR",2073
"ZAF",2012
"GBR",1987
"THA",1983
"TUR",1959
"HRV",1727
"BRA",1397
"AUS",1395
"CZE",847
"LUX",799
"MEX",780
"PRT",755
"NZL",744
"BEL",704
"UKR",579
"FIN",521
"RUS",469
"SVK",423
"BGR",394
"CHN",388
"ARG",363
"ROM",335
"MAR",274
"IND",243
"HUN",218
"LAO",192
"CHL",153
"MKD",138
"VEN",135
"JPN",128
"PER",117
"COL",115
"CUB",109
"MLT",100
"VNM",99
"ISR",99
"SRB",95
"AND",90
"IRL",76
"ISL",70
"REU",68
"HKG",59
"ECU",59
"MYS",56
"DNK",53
"MSR",50
"ALB",46
"NLD",45
"IRN",42
"KOR",42
"BIH",40
"MDG",37
"NAM",36
"TWN",30
"JOR",29
"FXX",29
"ARE",22
"VGB",22
"SWZ",22
"OMN",20
"ABW",20
"CYP",18
"MNE",18
"BOL",18
"YUG",17
"SGS",16
"PHL",16
"NPL",14
"PRI",14
"PAK",10
"GTM",10
"HND",10
"LIE",10
"ZWE",9
"LBN",9
"CRI",8
"BWA",8
"CYM",8
"KEN",8
"IDN",8
"SOM",7
"EGY",7
"KGZ",7
"GRL",7
"NCL",7
"BVT",7
"SLV",6
"ARM",6
"DOM",6
"KNA",6
"GEO",6
"SMR",5
"KAZ",5
"SYR",5
"AZE",5
"MCO",5
"BHS",5
"ETH",5
"FRO",5
"GIB",5
"FJI",5
"PAN",5
"KHM",4
"AGO",4
"ATF",4
"HTI",4
"TZA",4
"UGA",4
"URY",4
"LKA",4
"SYC",4
"FLK",3
"GLOB",3
"LVA",3
"MNP",3
"MWI",3
"PCN",3
"PRK",3
"SGP",3
"SJM",3
"TMP",3
"SAU",2
"CIV",2
"MLI",2
"CMR",2
"IOT",2
"ASM",2
"UNK",2
"LTU",2
"GHA",2
"CPV",2
"VCT",2
"GUM",2
"SLB",2
"TJK",2
"WSM",2
"YEM",2
"BRB",2
"MTQ",2
"NGA",2
"GAB",2
"BMU",2
"BEN",1
"BDI",1
"LCA",1
"KIR",1
"TKM",1
"TUN",1
"ATA",1
"JAM",1
"DJI",1
"DZA",1
"EST",1
"UZB",1
"GMB",1
"GLP",1
"none",1
"MYT",1
"GIN",1
"BLR",1
"MNG",1
"AIA",1
"MMR",1
"PYF",1
"QAT",1
"BHR",1
"BGD",1
"RWA",1
"SDN",1
"ZMB",1
"CCK",1
"SHN",1
"SLE",1
"MDV",1
"MAC",1
"SPM",1
"BFA",1
"STP",1
"SUR",1
