"country","climbers"
"ESP",705
"FRA",494
"USA",452
"ITA",282
"AUT",232
"DEU",206
"SVN",201
"CHE",200
NULL,179
"AUS",97
"CAN",85
"GRC",83
"NOR",77
"GBR",75
"POL",72
"ZAF",70
"UKR",60
"TUR",57
"BRA",44
"MEX",42
"JPN",27
"CHN",27
"HRV",24
"SWE",22
"THA",22
"SVK",18
"NZL",18
"CZE",17
"ARG",16
"BGR",12
"HUN",11
"BEL",11
"ROM",11
"RUS",10
"ISR",8
"PRT",6
"LUX",6
"FIN",5
"IRN",5
"IND",5
"VEN",5
"CHL",4
"REU",4
"COL",4
"MYS",3
"ISL",3
"FXX",3
"ECU",2
"MAR",2
"MSR",1
"MMR",1
"MKD",1
"SRB",1
"MDG",1
"LBN",1
"LAO",1
"TWN",1
"KOR",1
"BEN",1
"ETH",1
"IRL",1
"CUB",1
"ALB",1
"NLD",1
